source,id,title,company,city,remote,salary_min,salary_max,salary_avg,currency,skills,level,category,collected_at,region,month,salary_avg_rub_norm
Habr,habr_1000165703,Аналитик данных (Антифрод-система),Совкомбанк Технологии,Казань,False,,,,RUB,"SQL, Python, TensorFlow, Keras, NumPy",Not specified,Data Analytics,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000166231,Python developer,ITK academy,Краснодар,True,220000.0,300000.0,260000.0,RUB,"Python, PostgreSQL, Docker, Apache Kafka, CI/CD",Not specified,Software Development,2026-05-11 17:54:51,Russia,2026-05,260000.0
Habr,habr_1000163346,Python Developer,ITK academy,Краснодар,True,75000.0,,75000.0,RUB,"Git, SQL, Python, ООП, Docker",Not specified,Software Development,2026-05-11 17:54:51,Russia,2026-05,75000.0
Habr,habr_1000165568,Python разработчик,ГНИВЦ,Москва,True,,,,RUB,"Openstack, Asyncio, SQLalchemy, Linux, PostgreSQL",Not specified,Software Development,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000166116,Junior AI Automation Engineer / AI-инженер (junior),OPENCITY,Нижний Новгород,True,50000.0,,50000.0,RUB,"LLM, Python, Тестирование API, Langgraph, Разработка решений по интеграции",Junior,Other IT,2026-05-11 17:54:51,Russia,2026-05,50000.0
Habr,habr_1000165251,Python-разработчик,ИТ-компания «Лоция»,Москва,True,,,,RUB,Python,Not specified,Software Development,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000164426,Разработчик бэкенда (Python/Django) в команду развития сотрудников,Яндекс,Екатеринбург,False,,,,RUB,"Python, PostgreSQL, Django, Celery, Redis",Not specified,Software Development,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000166290,"Старший инженер по автоматизации тестирования (Python, финтех)/ Senior AQA",Хайтек,Не указан,True,,,,RUB,"Автоматизация тестирования, Python, Selenium, Playwright, Тестирование API",Senior,Software Development,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000165851,Python-разработчик в ML,Koronatech,Томск,True,,,,RUB,"Python, CI/CD, SQL, NoSQL, Kubernetes",Not specified,Software Development,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000166170,Senior QA Automation Engineer (Python),2GIS,Москва,True,,,,RUB,"Python, Автоматизация тестирования, Langgraph, LLM",Senior,Software Development,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000166198,"Программист backend Python, Django middle +",Главгосэкспертиза России,Москва,False,,,,RUB,"Python, Django, PostgreSQL, Docker, Git",Middle,Software Development,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000165161,ML Engineer / Инженер машинного обучения,Анонимный работодатель,Санкт-Петербург,False,,,,RUB,"Linux, TensorFlow, GitHub, PostgreSQL, Python",Not specified,Data Science,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000159590,Tech Lead Python (IaaS/PaaS),ГНИВЦ,Москва,True,,,,RUB,"KVM, SQL, Виртуализация, Python, PostgreSQL",Senior,Software Development,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000166308,Разработчик MLOps (Python),Action tech,Москва,True,,,,RUB,"Python, PHP, Linux, Git, Docker",Not specified,Software Development,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000166009,Senior Python Developer,Bell Integrator,Минск,True,,,,RUB,"Python, Apache Kafka, RabbitMQ",Senior,Software Development,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000165410,Python Developer / SDET (сетевое оборудование),ЛАНИТ,Не указан,True,,,,RUB,"Python, TCP, Pytest, Bash, Сетевые технологии",Not specified,Software Development,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000165789,ML-инженер (Направление клиентского сервиса),Wildberries & Russ,Не указан,True,,,,RUB,"NLP, TTS",Not specified,Other IT,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000166164,Python-инженер в SaaS про AI для CAD/CAM,DigiFabster,Не указан,True,,,,RUB,"Python, Машинное обучение, Нейронные сети, Система автоматизированного проектирования, SQL",Not specified,Software Development,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000166311,QA Engineer (Manual → AQA),Adfinity,Не указан,True,150000.0,,150000.0,RUB,"Python, Docker, REST, Bash, Linux",Not specified,QA,2026-05-11 17:54:51,Russia,2026-05,150000.0
Habr,habr_1000166241,Data Scientist,М Тех,Москва,True,,,,RUB,"Python, SQL, Apache Kafka",Not specified,Data Science,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000166248,AI Automation Engineer,Boomerangme 🎫,Не указан,True,,,,RUB,"n8n, Python, FastAPI, GPT, LLM",Not specified,Other IT,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000166154,Team Lead (Ecom),GRI,Москва,False,,,,RUB,"FastAPI, Django, Python, Agile, Golang",Senior,Other IT,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000166025,Data Scientist (NLP|LLM),СберЗдоровье,Москва,True,,,,RUB,"NLP, LLM, Компьютерное зрение, Python",Not specified,Data Science,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000163076,Инженер кибербезопасности облака,Cloud.ru,Не указан,True,,,,RUB,AWS,Not specified,Other IT,2026-05-11 17:54:51,Russia,2026-05,
Habr,habr_1000166353,AI Bulider,ИП Даутова Дина Саитовна,Не указан,True,130000.0,140000.0,135000.0,RUB,Базы данных,Not specified,Other IT,2026-05-11 17:54:51,Russia,2026-05,135000.0
