source,id,title,company,city,remote,salary_min,salary_max,salary_avg,currency,skills,level,category,collected_at
Habr,habr_1000165703,Аналитик данных (Антифрод-система),Совкомбанк Технологии,Казань,False,,,,RUB,"SQL, Python, TensorFlow, Keras, NumPy",Not specified,Data Analytics,2026-05-11 17:54:51
Habr,habr_1000166231,Python developer,ITK academy,Краснодар,True,220000.0,300000.0,260000.0,RUB,"Python, PostgreSQL, Docker, Apache Kafka, CI/CD",Not specified,Software Development,2026-05-11 17:54:51
Habr,habr_1000163346,Python Developer,ITK academy,Краснодар,True,75000.0,,75000.0,RUB,"Git, SQL, Python, ООП, Docker",Not specified,Software Development,2026-05-11 17:54:51
Habr,habr_1000165568,Python разработчик,ГНИВЦ,Москва,True,,,,RUB,"Openstack, Asyncio, SQLalchemy, Linux, PostgreSQL",Not specified,Software Development,2026-05-11 17:54:51
Habr,habr_1000166116,Junior AI Automation Engineer / AI-инженер (junior),OPENCITY,Нижний Новгород,True,50000.0,,50000.0,RUB,"LLM, Python, Тестирование API, Langgraph, Разработка решений по интеграции",Junior,Other IT,2026-05-11 17:54:51
Habr,habr_1000165251,Python-разработчик,ИТ-компания «Лоция»,Москва,True,,,,RUB,Python,Not specified,Software Development,2026-05-11 17:54:51
Habr,habr_1000164426,Разработчик бэкенда (Python/Django) в команду развития сотрудников,Яндекс,Екатеринбург,False,,,,RUB,"Python, PostgreSQL, Django, Celery, Redis",Not specified,Software Development,2026-05-11 17:54:51
Habr,habr_1000166290,"Старший инженер по автоматизации тестирования (Python, финтех)/ Senior AQA",Хайтек,Не указан,True,,,,RUB,"Автоматизация тестирования, Python, Selenium, Playwright, Тестирование API",Senior,Software Development,2026-05-11 17:54:51
Habr,habr_1000165851,Python-разработчик в ML,Koronatech,Томск,True,,,,RUB,"Python, CI/CD, SQL, NoSQL, Kubernetes",Not specified,Software Development,2026-05-11 17:54:51
Habr,habr_1000166170,Senior QA Automation Engineer (Python),2GIS,Москва,True,,,,RUB,"Python, Автоматизация тестирования, Langgraph, LLM",Senior,Software Development,2026-05-11 17:54:51
Habr,habr_1000166198,"Программист backend Python, Django middle +",Главгосэкспертиза России,Москва,False,,,,RUB,"Python, Django, PostgreSQL, Docker, Git",Middle,Software Development,2026-05-11 17:54:51
Habr,habr_1000165161,ML Engineer / Инженер машинного обучения,Анонимный работодатель,Санкт-Петербург,False,,,,RUB,"Linux, TensorFlow, GitHub, PostgreSQL, Python",Not specified,Data Science,2026-05-11 17:54:51
Habr,habr_1000159590,Tech Lead Python (IaaS/PaaS),ГНИВЦ,Москва,True,,,,RUB,"KVM, SQL, Виртуализация, Python, PostgreSQL",Senior,Software Development,2026-05-11 17:54:51
Habr,habr_1000166308,Разработчик MLOps (Python),Action tech,Москва,True,,,,RUB,"Python, PHP, Linux, Git, Docker",Not specified,Software Development,2026-05-11 17:54:51
