source,id,title,company,city,remote,salary,skills,collected_at,search_keyword
Habr,habr_1000165703,Аналитик данных (Антифрод-система),Совкомбанк Технологии,Казань,False,Зарплата не указанаПохожие специалисты получают 170 000 - 272 000 ₽,"SQL, Python, TensorFlow, Keras, NumPy",2026-05-11 17:54:51,python
Habr,habr_1000166231,Python developer,ITK academy,Краснодар,True,от 220 000 до 300 000 ₽,"Python, PostgreSQL, Docker, Apache Kafka, CI/CD",2026-05-11 17:54:51,python
Habr,habr_1000163346,Python Developer,ITK academy,Краснодар,True,от 75 000 ₽,"Git, SQL, Python, ООП, Docker",2026-05-11 17:54:51,python
Habr,habr_1000165568,Python разработчик,ГНИВЦ,Москва,True,Зарплата не указанаПохожие специалисты получают 229 000 - 332 000 ₽,"Openstack, Asyncio, SQLalchemy, Linux, PostgreSQL",2026-05-11 17:54:51,python
Habr,habr_1000166116,Junior AI Automation Engineer / AI-инженер (junior),OPENCITY,Нижний Новгород,True,от 50 000 ₽,"LLM, Python, Тестирование API, Langgraph, Разработка решений по интеграции",2026-05-11 17:54:51,python
Habr,habr_1000165251,Python-разработчик,ИТ-компания «Лоция»,Москва,True,Зарплата не указанаПохожие специалисты получают 199 000 - 361 000 ₽,Python,2026-05-11 17:54:51,python
Habr,habr_1000164426,Разработчик бэкенда (Python/Django) в команду развития сотрудников,Яндекс,Екатеринбург,False,Зарплата не указанаПохожие специалисты получают 160 000 - 257 000 ₽,"Python, PostgreSQL, Django, Celery, Redis",2026-05-11 17:54:51,python
Habr,habr_1000166290,"Старший инженер по автоматизации тестирования (Python, финтех)/ Senior AQA",Хайтек,Не указан,True,Зарплата не указанаПохожие специалисты получают 234 000 - 514 000 ₽,"Автоматизация тестирования, Python, Selenium, Playwright, Тестирование API",2026-05-11 17:54:51,python
Habr,habr_1000165851,Python-разработчик в ML,Koronatech,Томск,True,Зарплата не указанаПохожие специалисты получают 200 000 - 269 000 ₽,"Python, CI/CD, SQL, NoSQL, Kubernetes",2026-05-11 17:54:51,python
Habr,habr_1000166170,Senior QA Automation Engineer (Python),2GIS,Москва,True,Зарплата не указанаПохожие специалисты получают 280 000 - 370 000 ₽,"Python, Автоматизация тестирования, Langgraph, LLM",2026-05-11 17:54:51,python
Habr,habr_1000166198,"Программист backend Python, Django middle +",Главгосэкспертиза России,Москва,False,Зарплата не указанаПохожие специалисты получают 189 000 - 270 000 ₽,"Python, Django, PostgreSQL, Docker, Git",2026-05-11 17:54:51,python
Habr,habr_1000165161,ML Engineer / Инженер машинного обучения,Анонимный работодатель,Санкт-Петербург,False,Зарплата не указанаПохожие специалисты получают 212 000 - 343 000 ₽,"Linux, TensorFlow, GitHub, PostgreSQL, Python",2026-05-11 17:54:51,python
Habr,habr_1000159590,Tech Lead Python (IaaS/PaaS),ГНИВЦ,Москва,True,Зарплата не указанаПохожие специалисты получают 325 000 - 472 000 ₽,"KVM, SQL, Виртуализация, Python, PostgreSQL",2026-05-11 17:54:51,python
Habr,habr_1000166308,Разработчик MLOps (Python),Action tech,Москва,True,Зарплата не указанаПохожие специалисты получают 158 000 - 214 000 ₽,"Python, PHP, Linux, Git, Docker",2026-05-11 17:54:51,python
Habr,habr_1000166009,Senior Python Developer,Bell Integrator,Минск,True,Зарплата не указанаПохожие специалисты получают 303 000 - 386 000 ₽,"Python, Apache Kafka, RabbitMQ",2026-05-11 17:54:51,python
Habr,habr_1000165410,Python Developer / SDET (сетевое оборудование),ЛАНИТ,Не указан,True,,"Python, TCP, Pytest, Bash, Сетевые технологии",2026-05-11 17:54:51,python
Habr,habr_1000165789,ML-инженер (Направление клиентского сервиса),Wildberries & Russ,Не указан,True,Зарплата не указанаПохожие специалисты получают 156 000 - 350 000 ₽,"NLP, TTS",2026-05-11 17:54:51,python
Habr,habr_1000166164,Python-инженер в SaaS про AI для CAD/CAM,DigiFabster,Не указан,True,от 2400 до 4000 $,"Python, Машинное обучение, Нейронные сети, Система автоматизированного проектирования, SQL",2026-05-11 17:54:51,python
Habr,habr_1000166311,QA Engineer (Manual → AQA),Adfinity,Не указан,True,от 150 000 ₽,"Python, Docker, REST, Bash, Linux",2026-05-11 17:54:51,python
Habr,habr_1000166241,Data Scientist,М Тех,Москва,True,,"Python, SQL, Apache Kafka",2026-05-11 17:54:51,python
Habr,habr_1000166248,AI Automation Engineer,Boomerangme 🎫,Не указан,True,от 4000 до 6000 $,"n8n, Python, FastAPI, GPT, LLM",2026-05-11 17:54:51,python
Habr,habr_1000166154,Team Lead (Ecom),GRI,Москва,False,Зарплата не указанаПохожие специалисты получают 306 000 - 538 000 ₽,"FastAPI, Django, Python, Agile, Golang",2026-05-11 17:54:51,python
Habr,habr_1000166025,Data Scientist (NLP|LLM),СберЗдоровье,Москва,True,Зарплата не указанаПохожие специалисты получают 190 000 - 300 000 ₽,"NLP, LLM, Компьютерное зрение, Python",2026-05-11 17:54:51,python
Habr,habr_1000163076,Инженер кибербезопасности облака,Cloud.ru,Не указан,True,Зарплата не указанаПохожие специалисты получают 150 000 - 210 000 ₽,AWS,2026-05-11 17:54:51,python
Habr,habr_1000166353,AI Bulider,ИП Даутова Дина Саитовна,Не указан,True,от 130 000 до 140 000 ₽,Базы данных,2026-05-11 17:54:51,python
Habr,habr_1000166282,ML-инженер,ГНИВЦ,Москва,False,Зарплата не указанаПохожие специалисты получают 358 000 - 469 000 ₽,"Git, PostgreSQL, Python",2026-05-11 17:54:54,python
Habr,habr_1000133692,"Fullstack-разработчик (.Net core, React)",УК «Аэропорты Регионов»,Екатеринбург,True,Зарплата не указанаПохожие специалисты получают 164 000 - 214 000 ₽,".NET Core, React, .NET",2026-05-11 17:54:54,python
Habr,habr_1000164646,С++ Developer,Eltex,Новосибирск,False,Зарплата не указанаПохожие специалисты получают 200 000 - 288 000 ₽,"C++, Linux",2026-05-11 17:54:54,python
Habr,habr_1000164325,Старший ML-разработчик агентов для Алисы,Яндекс,Москва,False,Зарплата не указанаПохожие специалисты получают 357 000 - 488 000 ₽,"Deep Learning, NLP, LLM, PyTorch, Python",2026-05-11 17:54:54,python
Habr,habr_1000164629,Техлид в команду высокоточных цифровых дорожных карт,Navio,Москва,False,,"Python, Алгоритмы и структуры данных, Большие данные, Машинное обучение, Deep Learning",2026-05-11 17:54:54,python
Habr,habr_1000166397,NLP-разработчик в Браузер,Яндекс,Москва,False,,"Python, Docker, PyTorch, Deep Learning, NLP",2026-05-11 17:54:54,python
Habr,habr_1000128046,Java-разработчик в Маркет,Яндекс,Нижний Новгород,False,от 180 000 до 350 000 ₽,"Java, Java Spring Framework",2026-05-11 17:54:54,python
Habr,habr_1000165249,Java разработчик с нуля (стажер),Aston,Москва,True,от 52 000 ₽,"Java, Hibernate, MySQL, PostgreSQL, Git",2026-05-11 17:54:54,python
